source_id,name,category,subcategories,store
566,Kelly Chaine bracele,Kelly,Women,Elite Haven
567,Kelly Clochette brac,Kelly,Women,Elite Haven
568,Chaine d'ancre Verso,Chaînes d’ancre,Women,Elite Haven
569,Chaine d'ancre Danae,Chaînes d’ancre,Women,Elite Haven
570,"Farandole earrings,",Chaînes d’ancre,Women,Elite Haven
571,"Farandole pendant, s",Chaînes d’ancre,Women,Elite Haven
572,Chaine d'ancre Encha,Chaînes d’ancre,Women,Elite Haven
573,"H d'ancre ring, smal",Chaînes d’ancre,Women,Elite Haven
574,Hermès Clou d'H brac,Equestrian,Women,Elite Haven
575,Hermès Clou d'H ring,Equestrian,Women,Elite Haven
576,"Clou de forge ring,",Equestrian,Women,Elite Haven
577,Hermès Ex-Libris ear,Equestrian,Women,Elite Haven
578,Hermès Clou d'H pend,Equestrian,Women,Elite Haven
579,Hermès Clou d'H ring,Equestrian,Women,Elite Haven
580,Hermès Ex-Libris bra,Equestrian,Women,Elite Haven
581,Collier de chien rin,Equestrian,Women,Elite Haven
582,Hermès Ex-Libris ear,Equestrian,Women,Elite Haven
583,Ever Kelly wedding b,Precious moments,Women,Elite Haven
584,Ariane wedding band,Precious moments,Women,Elite Haven
585,Ever Herakles weddin,Precious moments,Women,Elite Haven
586,Ever Herakles weddin,Precious moments,Women,Elite Haven
587,"Kelly ring, small mo",Kelly,Women,Elite Haven
588,BIRKENSTOCK,Women,,Elite Essentials
589,Celeste,Women,Bags,Elite Essentials
590,Kelly Chaine bracele,Kelly,Women,The Fashion Vault
591,"Farandole pendant, s",Chaînes d’ancre,Women,The Fashion Vault
592,Hermès Clou d'H pend,Equestrian,Women,The Fashion Vault
593,Adidas CBLACK/CBLACK,Men,Men,Michael’s fashion store
594,Pack of 2 Canon Pixm,Ink Cartridges,Computers & Accessories,Michael’s fashion store
595,Nike CAVE STONE/BLAC,kids,"Kids Girls, Kids Shoes Girls",Michael’s fashion store
596,Calvin Klein Jeans S,Women,"Women, Clothing",Michael’s fashion store
597,Flora Bella,Accessories,Bags,Michael’s fashion store
598,Small Crinkle Zip Ar,Women's Wallets,Women,Michael’s fashion store
599,FYOR,Women,Bags,Michael’s fashion store
600,FYOR Sunset Tropics Skirt Set,Women,,Michael’s fashion store
601,Bright Crystal EDT 9,Fragrance,Fragrance,Michael’s fashion store
602,DKNY,Women,Bags,Michael’s fashion store
603,American Eagle,Men,,Michael’s fashion store
604,FRWD,Men,,Michael’s fashion store
605,Celeste,Women,Bags,Michael’s fashion store
606,DUCHINI Men Laptop Compartment Backpack,Men,Bags,Michael’s fashion store
607,Calvin Klein Jeans,Women,Women,Michael’s fashion store
608,CALVIN KLEIN SHORELI,Women,"Women, Clothing",Michael’s fashion store
609,CALVIN KLEIN Cotton,Women,"Women, Clothing",Michael’s fashion store
610,Ever Kelly wedding b,Precious moments,Women,Michael’s fashion store
611,"Farandole earrings,",Earrings,Women,Michael’s fashion store
612,Amulettes Hermès Ex-,Necklaces and pendants,Women,Michael’s fashion store
